Time,Temperature
0.0,23.38
0.5,23.38
1.0,23.38
1.5,23.38
2.0,23.38
2.5,23.38
3.0,23.38
3.5,23.38
4.0,23.38
4.5,23.38
5.0,23.38
5.5,23.38
6.0,23.38
6.5,23.38
7.0,23.38
7.5,23.38
8.0,23.38
8.5,23.38
9.0,23.38
9.5,23.38
10.0,23.38
10.5,23.38
11.0,23.38
11.5,23.38
12.0,23.38
12.5,23.38
13.0,23.38
13.5,23.38
14.0,23.38
14.5,23.38
15.0,23.38
15.5,23.38
16.0,23.38
16.5,23.38
17.0,23.38
17.5,23.38
18.0,23.38
18.5,23.38
19.0,23.38
19.5,23.38
20.0,23.38
20.5,23.38
21.0,23.38
21.5,23.38
22.0,23.38
22.5,23.38
23.0,23.38
23.5,23.38
24.0,23.38
24.5,23.38
25.0,23.38
25.5,23.38
26.0,23.38
26.5,23.38
27.0,23.38
27.5,23.38
28.0,23.38
28.5,23.38
29.0,23.38
29.5,23.38
30.0,23.38
